Service,Category,Generation Speed,Quality (1-10),Stem Export,API Available,Cost per Track,Browser Integration,Recommendation Tier
Suno,Music,$30s,9,Yes,Yes,$0.10,Via API,Tier 1 - Recommended
Udio,Music,<25s,9,Yes,Yes,$0.12,Via API,Tier 1 - Recommended
Stable Audio,Music,<20s,7,No,Yes,$0.05,Via API,Tier 2 - Viable (budget)
MusicGen (HF),Music,<60s,6,No,Yes (free),Free,Via API,Tier 3 - Fallback only
AIVA,Music,<45s,8,Yes,Limited,$15/month subscription,Via API,Tier 2 - Viable
ElevenLabs SFX,Sound Effects,<10s,9,N/A,Yes,$0.05 per SFX,Via API,Tier 1 - Recommended
AudioCraft (Meta),Sound Effects,<15s,7,N/A,Yes (free),Free,Via API,Tier 2 - Fallback
Freesound Library,Sound Effects,Instant,8,N/A,Yes (free),Free,Download,Tier 2 - Supplement
WebAudio API,Mixing,Real-time,N/A (framework),N/A,Native,Free,Native browser,Tier 1 - Required
FFmpeg.wasm,Export,30-60s,N/A (tool),N/A,Native (WASM),Free,Native browser,Tier 1 - Required (existing)
